Country/Territory,UN Region,IMF[4][5],IMF[4][5],World Bank[6],World Bank[6],United Nations[7],United Nations[7]
Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
-,-,-,-,-,-,-,-
Sri Lanka,Asia,3362,2022,4014,2021,3918,2021
Honduras,Americas,3278,2023,2772,2021,2772,2021
Angola,Africa,3204,2023,1954,2021,2258,2021
Vanuatu,Oceania,3188,2023,2997,2021,3073,2021
São Tomé and Príncipe,Africa,2695,2023,2361,2021,2486,2021
Ivory Coast,Africa,2646,2023,2549,2021,2539,2021
India,Asia,2601,2023,2257,2021,2274,2021
Nicaragua,Americas,2589,2023,2046,2021,2046,2021
Congo,Africa,2584,2023,2290,2021,2200,2021
Uzbekistan,Asia,2563,2023,1983,2021,2032,2021
Mauritania,Africa,2475,2023,2166,2021,2166,2021
Bangladesh,Asia,2469,2023,2458,2021,2450,2021
Solomon Islands,Oceania,2299,2023,2305,2021,2306,2021
Nigeria,Africa,2280,2023,2066,2021,2019,2021
Kenya,Africa,2269,2023,2082,2021,2082,2021
Haiti,Americas,2173,2023,1830,2021,1664,2021
Ghana,Africa,2024,2023,2363,2021,2409,2021
Kiribati,Oceania,1989,2023,1607,2021,1765,2021
Cambodia,Asia,1896,2023,1625,2021,1608,2021
Laos,Asia,1858,2023,2536,2021,2569,2021
Zimbabwe,Africa,1851,2023,1774,2021,1508,2021
Kyrgyzstan,Asia,1736,2023,1277,2021,1339,2021
Senegal,Africa,1719,2023,1637,2021,1637,2021
Cameroon,Africa,1699,2023,1667,2021,1668,2021
Pakistan,Asia,1658,2022,1505,2021,1480,2021
Guinea,Africa,1549,2023,1189,2021,1185,2021
Ethiopia,Africa,1475,2023,925,2021,825,2021
Timor-Leste,Asia,1425,2023,2741,2021,1517,2021
Zambia,Africa,1423,2023,1137,2021,1095,2021
Benin,Africa,1390,2023,1319,2021,1361,2021
Nepal,Asia,1377,2023,1208,2021,1159,2021
Comoros,Africa,1360,2023,1578,2021,1631,2021
Tanzania,Africa,1348,2023,1099,2021,1136,[n 11]2021
Tajikistan,Asia,1277,2023,897,2021,897,2021
Zanzibar,Africa,—,—,—,—,1211,2021
Lesotho,Africa,1208,2023,1094,2021,1040,2021
Myanmar,Asia,1180,2023,1210,2021,1089,2021
Uganda,Africa,1105,2023,884,2021,930,2021
Togo,Africa,990,2023,973,2021,944,2021
Sudan,Africa,975,2023,752,2021,786,2021
Guinea-Bissau,Africa,974,2023,795,2021,759,2021
